,Unnamed: 0,cntxt_num,count,mean,pt,r_num,index,context_num,context_type,context_shock,cntxt_trialnum,Mean,STD
117,3.0,3.0,3.0,0.0,64.0,2.0,19.0,3.0,THREAT,None,1.0,0.023755555555555554,0.05145823231711923
118,4.0,4.0,3.0,0.0,64.0,2.0,25.0,4.0,SAFE,None,1.0,0.023755555555555554,0.05145823231711923
119,5.0,5.0,3.0,0.0,64.0,2.0,31.0,5.0,THREAT,None,1.0,0.023755555555555554,0.05145823231711923
120,6.0,6.0,3.0,0.0061,64.0,2.0,37.0,6.0,SAFE,None,1.0,0.023755555555555554,0.05145823231711923
121,7.0,7.0,3.0,0.0122,64.0,2.0,43.0,7.0,THREAT,prior,1.0,0.023755555555555554,0.05145823231711923
122,,,,,,,,,,,,0.023755555555555554,0.05145823231711923
123,9.0,9.0,3.0,0.0,64.0,2.0,55.0,7.0,THREAT,post,1.0,0.023755555555555554,0.05145823231711923
124,10.0,10.0,3.0,0.0137,64.0,2.0,61.0,8.0,SAFE,None,1.0,0.023755555555555554,0.05145823231711923
125,11.0,11.0,3.0,0.0061,64.0,2.0,67.0,9.0,SAFE,None,1.0,0.023755555555555554,0.05145823231711923
126,12.0,12.0,3.0,0.0,64.0,2.0,73.0,10.0,SAFE,None,1.0,0.06948888888888889,0.07004836051227407
127,13.0,13.0,3.0,0.0727,64.0,2.0,79.0,11.0,SAFE,None,1.0,0.06948888888888889,0.07004836051227407
128,14.0,14.0,3.0,0.0,64.0,2.0,85.0,12.0,SAFE,None,1.0,0.06948888888888889,0.07004836051227407
129,15.0,15.0,3.0,0.0051,64.0,2.0,91.0,13.0,THREAT,None,1.0,0.06948888888888889,0.07004836051227407
130,16.0,16.0,3.0,0.0356,64.0,2.0,97.0,14.0,THREAT,None,1.0,0.06948888888888889,0.07004836051227407
131,17.0,17.0,3.0,0.0,64.0,2.0,103.0,15.0,THREAT,None,1.0,0.06948888888888889,0.07004836051227407
132,18.0,18.0,3.0,0.209,64.0,2.0,109.0,16.0,SAFE,None,1.0,0.06948888888888889,0.07004836051227407
133,0.0,0.0,3.0,0.0076,64.0,3.0,1.0,0.0,SAFE,None,1.0,0.06948888888888889,0.07004836051227407
134,1.0,1.0,3.0,0.0061,64.0,3.0,7.0,1.0,SAFE,None,1.0,0.06948888888888889,0.07004836051227407
135,2.0,2.0,3.0,0.0565,64.0,3.0,13.0,2.0,SAFE,None,1.0,0.06948888888888889,0.07004836051227407
136,3.0,3.0,3.0,0.1185,64.0,3.0,19.0,3.0,SAFE,None,1.0,0.06948888888888889,0.07004836051227407
137,4.0,4.0,3.0,0.1668,64.0,3.0,25.0,4.0,SAFE,None,1.0,0.06948888888888889,0.07004836051227407
138,5.0,5.0,3.0,0.0,64.0,3.0,31.0,5.0,THREAT,None,1.0,0.06948888888888889,0.07004836051227407
