,index,time,GSR,shock,stims,contexts,trls_rec
41518,47547,3.9619999999999997,-0.1694,0,0,7.0,3718.0
41519,47548,3.9619999999999997,-0.1648,0,0,7.0,3719.0
41520,47549,3.9619999999999997,-0.1678,0,0,7.0,3720.0
41521,47550,3.9619999999999997,-0.1709,0,0,7.0,3721.0
41522,47551,3.963,-0.1648,0,0,7.0,3722.0
41523,47552,3.963,-0.1663,0,0,7.0,3723.0
41524,47553,3.963,-0.1678,0,0,7.0,3724.0
41525,47554,3.963,-0.1648,0,0,7.0,3725.0
41526,47555,3.963,-0.1663,0,0,7.0,3726.0
41527,47556,3.963,-0.1663,0,0,7.0,3727.0
41528,47557,3.963,-0.1648,0,0,7.0,3728.0
41529,47558,3.963,-0.1663,0,0,7.0,3729.0
41530,47559,3.963,-0.1694,0,0,7.0,3730.0
41531,47560,3.963,-0.1648,0,0,7.0,3731.0
41532,47561,3.963,-0.1648,0,0,7.0,3732.0
41533,47562,3.963,-0.1633,0,0,7.0,3733.0
41534,47563,3.964,-0.1678,0,0,7.0,3734.0
41535,47564,3.964,-0.1678,0,0,7.0,3735.0
41536,47565,3.964,-0.1678,0,0,7.0,3736.0
41537,47566,3.964,-0.1663,0,0,7.0,3737.0
41538,47567,3.964,-0.1663,0,0,7.0,3738.0
41539,47568,3.964,-0.1633,0,0,7.0,3739.0
41540,47569,3.964,-0.1648,0,0,7.0,3740.0
41541,47570,3.964,-0.1663,0,0,7.0,3741.0
41542,47571,3.964,-0.1633,0,0,7.0,3742.0
41543,47572,3.964,-0.1663,0,0,7.0,3743.0
41544,47573,3.964,-0.1648,0,0,7.0,3744.0
41545,47574,3.965,-0.1633,0,0,7.0,3745.0
41546,47575,3.965,-0.1633,0,0,7.0,3746.0
41547,47576,3.965,-0.1663,0,0,7.0,3747.0
41548,47577,3.965,-0.1648,0,0,7.0,3748.0
41549,47578,3.965,-0.1648,0,0,7.0,3749.0
41550,47579,3.965,-0.1633,0,0,7.0,3750.0
41551,47580,3.965,-0.1648,0,0,7.0,3751.0
41552,47581,3.965,-0.1633,0,0,7.0,3752.0
41553,47582,3.965,-0.1633,0,0,7.0,3753.0
41554,47583,3.965,-0.1648,0,0,7.0,3754.0
41555,47584,3.965,-0.1648,0,0,7.0,3755.0
41556,47585,3.965,-0.1648,0,0,7.0,3756.0
41557,47586,3.966,-0.1633,0,0,7.0,3757.0
41558,47587,3.966,-0.1648,0,0,7.0,3758.0
41559,47588,3.966,-0.1617,0,0,7.0,3759.0
41560,47589,3.966,-0.1648,0,0,7.0,3760.0
41561,47590,3.966,-0.1648,0,0,7.0,3761.0
41562,47591,3.966,-0.1633,0,0,7.0,3762.0
41563,47592,3.966,-0.1617,0,0,7.0,3763.0
41564,47593,3.966,-0.1663,0,0,7.0,3764.0
41565,47594,3.966,-0.1648,0,0,7.0,3765.0
41566,47595,3.966,-0.1663,0,0,7.0,3766.0
41567,47596,3.966,-0.1663,0,0,7.0,3767.0
41568,47597,3.966,-0.1648,0,0,7.0,3768.0
41569,47598,3.966,-0.1633,0,0,7.0,3769.0
41570,47599,3.967,-0.1633,0,0,7.0,3770.0
41571,47600,3.967,-0.1617,0,0,7.0,3771.0
41572,47601,3.967,-0.1617,0,0,7.0,3772.0
41573,47602,3.967,-0.1633,0,0,7.0,3773.0
41574,47603,3.967,-0.1648,0,0,7.0,3774.0
41575,47604,3.967,-0.1633,0,0,7.0,3775.0
41576,47605,3.967,-0.1617,0,0,7.0,3776.0
41577,47606,3.967,-0.1648,0,0,7.0,3777.0
41578,47607,3.967,-0.1617,0,0,7.0,3778.0
41579,47608,3.967,-0.1602,0,0,7.0,3779.0
41580,47609,3.967,-0.1617,0,0,7.0,3780.0
41581,47610,3.967,-0.1648,0,0,7.0,3781.0
41582,47611,3.968,-0.1602,0,0,7.0,3782.0
41583,47612,3.968,-0.1602,0,0,7.0,3783.0
41584,47613,3.968,-0.1633,0,0,7.0,3784.0
41585,47614,3.968,-0.1633,0,0,7.0,3785.0
41586,47615,3.968,-0.1617,0,0,7.0,3786.0
41587,47616,3.968,-0.1617,0,0,7.0,3787.0
41588,47617,3.968,-0.1633,0,0,7.0,3788.0
41589,47618,3.968,-0.1602,0,0,7.0,3789.0
41590,47619,3.968,-0.1602,0,0,7.0,3790.0
41591,47620,3.968,-0.1617,0,0,7.0,3791.0
41592,47621,3.968,-0.1602,0,0,7.0,3792.0
41593,47622,3.969,-0.1633,0,0,7.0,3793.0
41594,47623,3.969,-0.1648,0,0,7.0,3794.0
41595,47624,3.969,-0.1587,0,0,7.0,3795.0
41596,47625,3.969,-0.1633,0,0,7.0,3796.0
41597,47626,3.969,-0.1617,0,0,7.0,3797.0
41598,47627,3.969,-0.1602,0,0,7.0,3798.0
41599,47628,3.969,-0.1633,0,0,7.0,3799.0
41600,47629,3.969,-0.1617,0,0,7.0,3800.0
41601,47630,3.969,-0.1602,0,0,7.0,3801.0
41602,47631,3.969,-0.1602,0,0,7.0,3802.0
41603,47632,3.969,-0.1617,0,0,7.0,3803.0
41604,47633,3.969,-0.1648,0,0,7.0,3804.0
41605,47634,3.97,-0.1617,0,0,7.0,3805.0
41606,47635,3.97,-0.1617,0,0,7.0,3806.0
41607,47636,3.97,-0.1648,0,0,7.0,3807.0
41608,47637,3.97,-0.1648,0,0,7.0,3808.0
41609,47638,3.97,-0.1633,0,0,7.0,3809.0
41610,47639,3.97,-0.1633,0,0,7.0,3810.0
41611,47640,3.97,-0.1633,0,0,7.0,3811.0
41612,47641,3.97,-0.1633,0,0,7.0,3812.0
41613,47642,3.97,-0.1633,0,0,7.0,3813.0
41614,47643,3.97,-0.1678,0,0,7.0,3814.0
