,Unnamed: 0,cntxt_num,count,mean,pt,r_num,index,context_num,context_type,context_shock,cntxt_trialnum
245,17,17,3,0.0076,66,3,103,15.0,THREAT,None,1.0
246,18,18,3,0.0687,66,3,109,16.0,SAFE,None,1.0
247,0,0,3,0.2401,66,4,1,0.0,THREAT,None,1.0
248,1,1,3,0.0615,66,4,7,1.0,THREAT,None,1.0
249,2,2,3,0.0,66,4,13,2.0,SAFE,None,1.0
250,3,3,3,0.0097,66,4,19,3.0,SAFE,None,1.0
251,4,4,3,0.0936,66,4,25,4.0,SAFE,None,1.0
252,5,5,3,0.0,66,4,31,5.0,THREAT,None,1.0
253,6,6,3,0.0,66,4,37,6.0,THREAT,None,1.0
254,7,7,3,0.0,66,4,43,7.0,THREAT,prior,1.0
256,9,9,3,0.0127,66,4,55,7.0,THREAT,post,1.0
257,10,10,3,0.032,66,4,61,8.0,SAFE,None,1.0
258,11,11,3,0.0,66,4,67,9.0,SAFE,None,1.0
259,12,12,3,0.0,66,4,73,10.0,SAFE,None,1.0
260,13,13,3,0.0,66,4,79,11.0,THREAT,None,1.0
261,14,14,3,0.0,66,4,85,12.0,THREAT,None,1.0
262,15,15,3,0.0,66,4,91,13.0,SAFE,None,1.0
263,16,16,3,0.0051,66,4,97,14.0,THREAT,None,1.0
264,17,17,3,0.0,66,4,103,15.0,SAFE,None,1.0
265,18,18,3,0.0387,66,4,109,16.0,THREAT,None,1.0
266,0,0,3,0.0163,66,5,1,0.0,THREAT,None,1.0
267,1,1,3,0.0,66,5,7,1.0,THREAT,None,1.0
268,2,2,3,0.0,66,5,13,2.0,SAFE,None,1.0
269,3,3,3,0.0,66,5,19,3.0,SAFE,None,1.0
270,4,4,3,0.0,66,5,25,4.0,SAFE,prior,1.0
272,6,6,3,0.0097,66,5,37,4.0,SAFE,post,1.0
273,7,7,3,0.0081,66,5,43,5.0,THREAT,None,1.0
274,8,8,3,0.0071,66,5,49,6.0,THREAT,None,1.0
275,9,9,3,0.0036,66,5,55,7.0,SAFE,None,1.0
276,10,10,3,0.0086,66,5,61,8.0,SAFE,None,1.0
277,11,11,3,0.0107,66,5,67,9.0,SAFE,None,1.0
278,12,12,3,0.0,66,5,73,10.0,THREAT,None,1.0
279,13,13,3,0.0092,66,5,79,11.0,THREAT,None,1.0
280,14,14,3,0.0,66,5,85,12.0,SAFE,None,1.0
281,15,15,3,0.0,66,5,91,13.0,THREAT,None,1.0
282,16,16,3,0.0331,66,5,97,14.0,THREAT,None,1.0
283,17,17,3,0.0,66,5,103,15.0,SAFE,None,1.0
284,18,18,3,0.0468,66,5,109,16.0,THREAT,None,1.0
285,0,0,3,0.09,67,1,1,0.0,SAFE,None,1.0
286,1,1,3,0.0519,67,1,7,1.0,THREAT,None,1.0
287,2,2,3,0.0051,67,1,13,2.0,SAFE,None,1.0
288,3,3,3,0.0137,67,1,19,3.0,THREAT,None,1.0
289,4,4,3,0.0163,67,1,25,4.0,THREAT,None,1.0
290,5,5,3,0.0412,67,1,31,5.0,THREAT,None,1.0
291,6,6,3,0.0,67,1,37,6.0,THREAT,None,1.0
292,7,7,3,0.0061,67,1,43,7.0,SAFE,None,1.0
293,8,8,3,0.0224,67,1,49,8.0,SAFE,None,1.0
294,9,9,3,0.0142,67,1,55,9.0,SAFE,None,1.0
295,10,10,3,0.0697,67,1,61,10.0,SAFE,None,1.0
296,11,11,3,0.0,67,1,67,11.0,SAFE,None,1.0
297,12,12,3,0.0107,67,1,73,12.0,THREAT,None,1.0
298,13,13,3,0.0076,67,1,79,13.0,THREAT,prior,1.0
300,15,15,3,0.0295,67,1,91,13.0,THREAT,post,1.0
301,16,16,3,0.0,67,1,97,14.0,SAFE,None,1.0
302,17,17,3,0.0,67,1,103,15.0,THREAT,None,1.0
303,18,18,3,0.12,67,1,109,16.0,SAFE,None,1.0
304,0,0,3,0.0112,67,2,1,0.0,SAFE,None,1.0
305,1,1,3,0.0,67,2,7,1.0,THREAT,None,1.0
306,2,2,3,0.0066,67,2,13,2.0,THREAT,None,1.0
307,3,3,3,0.0092,67,2,19,3.0,THREAT,None,1.0
308,4,4,3,0.0,67,2,25,4.0,SAFE,None,1.0
309,5,5,3,0.0046,67,2,31,5.0,THREAT,None,1.0
